id,word,shift_index,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9,subject10,subject11,subject12,subject13,subject14,subject15,subject16,subject17,subject18,subject19,subject20,subject21,subject22,subject23,subject24,subject25,subject26
1,vomit,0.0,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,no_change,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
2,crew,0.091,NA,NA,no_change,no_change,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,no_change,NA,change,no_change,NA,no_change,NA,no_change,NA
3,erect,0.0,NA,NA,no_change,NA,NA,no_change,NA,NA,NA,no_change,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,no_change,no_change,no_change
4,millionaires,0.0,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,no_change,NA,no_change,NA
5,toxic,0.857,no_change,NA,NA,NA,NA,change,NA,NA,NA,NA,change,change,change,NA,change,NA,NA,NA,NA,NA,change,NA,NA,NA,NA,NA
6,seeded,0.0,NA,NA,no_change,NA,NA,NA,NA,no_change,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,no_change,no_change,NA,no_change,NA,no_change,NA,no_change,NA
7,village,0.25,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,change,no_change,no_change,NA,no_change,NA,NA,NA,NA,change,no_change,NA,NA,NA,no_change,NA
8,dank,0.3,no_change,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,change,no_change,no_change,change,change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
9,accomplish,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,no_change,NA,NA,NA,NA
10,unclench,0.091,NA,NA,NA,no_change,NA,NA,NA,NA,NA,no_change,change,no_change,no_change,NA,no_change,no_change,NA,NA,NA,no_change,no_change,NA,no_change,NA,no_change,NA
11,voice,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA
12,stubbornness,0.0,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,no_change,NA,NA,no_change,NA,NA,NA,NA,NA
13,friendship,0.5,no_change,NA,no_change,NA,NA,NA,NA,NA,NA,NA,change,change,change,NA,no_change,no_change,NA,NA,NA,change,change,NA,NA,NA,no_change,NA
14,egyptian,0.444,NA,NA,NA,NA,change,NA,NA,NA,change,NA,change,no_change,no_change,NA,no_change,NA,change,NA,no_change,NA,no_change,NA,NA,NA,NA,NA
15,conservatives,0.0,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
16,moaned,0.0,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,no_change,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,no_change,no_change,NA
17,f5,0.556,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,change,change,change,NA,no_change,NA,NA,NA,no_change,NA,change,NA,change,NA,no_change,NA
18,labour,0.25,NA,NA,NA,no_change,NA,NA,NA,NA,NA,no_change,no_change,no_change,change,NA,change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
19,clench,0.375,NA,NA,NA,NA,NA,no_change,NA,NA,change,NA,change,no_change,no_change,NA,no_change,no_change,NA,NA,NA,NA,change,NA,NA,NA,NA,NA
20,highlighter,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,change,change,NA,change,NA,NA,NA,NA,change,change,no_change,change,NA,no_change,NA
21,pills,0.3,no_change,NA,change,NA,NA,NA,NA,NA,NA,no_change,change,no_change,no_change,NA,change,NA,NA,NA,NA,NA,no_change,NA,no_change,NA,no_change,NA
22,astonishing,0.0,no_change,NA,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,no_change,NA,no_change,no_change,NA,no_change,NA,NA,NA
23,monitoring,0.6,no_change,NA,NA,no_change,no_change,NA,NA,NA,NA,NA,change,change,change,NA,no_change,NA,change,NA,NA,NA,change,NA,change,NA,NA,NA
24,backbone,0.1,NA,no_change,no_change,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,change,no_change,NA,NA,NA,no_change,NA
25,soak,0.0,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA
26,implied,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,no_change,no_change,NA,no_change,NA,NA,NA
27,arrangement,0.143,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,change,no_change,NA,NA,NA,NA,NA
28,slave,0.0,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,no_change,NA,no_change,NA
